best_f1,best_threshold,precision,recall,roc_auc,f1_t0.93,f1_t0.94,f1_t0.95,f1_t0.96,f1_t0.97,f1_t0.975,f1_t0.98,f1_t0.985,f1_t0.99,hidden_size,epochs,lr,model
0.10060408921933085,0.99,0.05335140463282405,0.8800813008130082,0.970777774393997,0.039147303718557916,0.04202232435981615,0.045401214099882674,0.05042016806722689,0.058080973248740925,0.06283393887582817,0.07004946545396522,0.0814918414918415,0.10060408921933085,128,20,0.001,RNN
0.08330141708157794,0.99,0.043709807073954984,0.8841463414634146,0.9700890129735584,0.03476130316603499,0.03707341026270562,0.040070921985815605,0.043772032902467686,0.04983240223463687,0.05399146861669714,0.05983311851299098,0.06820305200872002,0.08330141708157794,128,50,0.0005,RNN
0.0673687470961747,0.99,0.035018515536950574,0.8841463414634146,0.968250333242829,0.028263961902405838,0.030092057940409807,0.03219858156028369,0.03508771929824561,0.039458550827214015,0.04278846153846154,0.04724662524105421,0.05445636668113875,0.0673687470961747,64,50,0.001,RNN
0.06289757701379459,0.99,0.03259500703755834,0.8943089430894309,0.9690129528267127,0.029988541496153216,0.031668696711327646,0.033678563445346844,0.036539320368641146,0.04078481242619675,0.043699286342751005,0.047223994894703254,0.05311432168335232,0.06289757701379459,128,30,0.001,RNN
0.03745757740813676,0.99,0.019122994652406418,0.9085365853658537,0.9670491649520191,0.021388645077839885,0.02227375948205054,0.02348496451728187,0.025059372696748832,0.027055891776432896,0.02845057183142723,0.030371241390895348,0.03301419610432486,0.03745757740813676,128,50,0.001,RNN
0.0,0.97,0.0,0.0,0.9229605167118973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,20,0.0001,LSTM
0.0,0.97,0.0,0.0,0.9325459251725978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,20,0.0001,RNN
0.0,0.97,0.0,0.0,0.7750452449611811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,20,0.0001,LSTM
0.0,0.97,0.0,0.0,0.9415366508491598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,50,0.0001,LSTM
0.0,0.97,0.0,0.0,0.9437449180736641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,30,0.0001,LSTM
0.0,0.97,0.0,0.0,0.9424234206334466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,30,0.0001,RNN
0.0,0.97,0.0,0.0,0.9186371780183693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,30,0.0001,LSTM
